dcc_name,SlideName,ScanLabel,ROILabel,SegmentLabel,Sample_ID,full_anno,Tissue ID,Age,Position,...10,Tbr-,Trb+ki67+,Trb+,Ki67+,Mes,Ki67,QCFlags,AOISurfaceArea,AOINucleiCount,ROICoordinateX,ROICoordinateY,RawReads,AlignedReads,DeduplicatedReads,TrimmedReads,StitchedReads,SequencingSaturation,SequencingSetID,UMIQ30,RTSQ30,GeoMxNgsPipelineVersion,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA,ROIID,SegmentID,ScanWidth,ScanHeight,ScanOffsetX,ScanOffsetY,LOQ_01,NormFactorQ3_postDrop,NegGeoMean_Hs_R_NGS_WTA_v1.0,NegGeoSD_Hs_R_NGS_WTA_v1.0,GenesDetected,GeneDetectionRate,DetectionThreshold,q_norm_qFactors
DSP-1012340069903-D-B08.dcc,3_Med,3_Med,1,Full ROI,3_Med.|.001.|.Full.ROI,CS-VZ-Medial,CS20M1,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Low Surface Area,Low Nuclei Count",13229.1,29,19381,7150,4748914,4528368,510455,4738975,4708570,88.73,A01356:94:H55VNDMXY,0.9947,0.9948,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,8e100cf4-b978-4b15-9ab0-6d218eabf952,be6d3b95-0601-48f5-9a02-17b177b52009,27854.75,73982.5625,2456,3968,10.7729356572461,0.920018705801598,3.0313868811204587,1.8537316247552613,9962,0.5333833056700755,>15%,0.6718396604519422
DSP-1012340069903-D-B09.dcc,3_Med,3_Med,2,Full ROI,3_Med.|.002.|.Full.ROI,CS-RL-Medial,CS20M1,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Low Surface Area,Low Nuclei Count",7501.7,63,19485,4763,2332628,2222144,235793,2326240,2312256,89.39,A01356:94:H55VNDMXY,0.9952,0.9946,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,c7156b10-508a-4f89-94bd-8ac6ef26ada9,d5c4da9b-fb7c-4309-94cb-6dbedd0a21ac,27854.75,73982.5625,2456,3968,6.25770261839568,0.444146961421461,1.90402151419075,1.8128903390857531,9130,0.48883653691706375,>15%,0.30232784720337397
DSP-1012340069903-D-B10.dcc,3_Med,3_Med,3,Full ROI,3_Med.|.003.|.Full.ROI,CS-iSVZ1-Medial,CS20M1,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,22493,418,19393,7059,12408120,11861261,1068876,12397137,12339261,90.99,A01356:94:H55VNDMXY,0.9952,0.9951,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,c6ab1320-59f5-4d67-a83a-00888b314976,ae98ad14-66ca-44c2-b9e6-b6a52b78b0d0,27854.75,73982.5625,2456,3968,16.3032514396129,1.87176219456187,4.685244853543567,1.865395682071085,12460,0.6671306955078439,>15%,1.3436793209038844
DSP-1012340069903-D-B11.dcc,3_Med,3_Med,4,Full ROI,3_Med.|.004.|.Full.ROI,CS-iSVZ2-Medial,CS20M1,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,20194.2,290,19413,6942,10558442,10081703,1008501,10545366,10483523,90,A01356:94:H55VNDMXY,0.9949,0.9947,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,79545ca1-e963-4cd7-81ca-a2ef3a691da5,bd8c0a16-3d83-4312-8c7b-53a672e87da2,27854.75,73982.5625,2456,3968,15.246939128359,1.58623914793379,4.49914921928031,1.8408827771292349,11973,0.6410558440863093,>15%,1.1421274227683018
DSP-1012340069903-D-B12.dcc,3_Med,3_Med,5,Full ROI,3_Med.|.005.|.Full.ROI,CS-oSVZ-Medial,CS20M1,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,31303.2,376,19421,6673,19335879,18451996,1407705,19313412,19203905,92.37,A01356:94:H55VNDMXY,0.9949,0.9948,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,3530eeb3-c360-4d34-bd2c-e4f4b7466556,43c51b7d-4a50-4f8b-b264-67fe6ae18faf,27854.75,73982.5625,2456,3968,26.8718791376783,2.22073480710731,9.881637092702682,1.6490528280162757,10678,0.5717192268565615,>15%,1.5956191935733628
DSP-1012340069903-D-C01.dcc,3_Med,3_Med,6,Ki67+,3_Med.|.006.|.Ki67+,CS-SVZ-Ki67-Medial,CS20M1,CS20,Medial,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,16985.9,218,19036,6451,10262705,9770859,1046916,10233633,10172370,89.29,A01356:94:H55VNDMXY,0.9953,0.9948,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,9af57e5c-b53c-4cc3-9591-1952c27988c6,e0c75bc7-2d41-46ea-9890-c0028efb6eb4,27854.75,73982.5625,2456,3968,19.2365561994876,1.71313827976849,5.474277246842873,1.8745639832494692,11147,0.5968303260694973,>15%,1.2093113888134959
DSP-1012340069903-D-C02.dcc,3_Med,3_Med,7,Full ROI,3_Med.|.007.|.Full.ROI,CS-ATOH-Medial,CS20M1,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low Surface Area,13208.5,203,19984,5218,6348770,6063325,583380,6341268,6306055,90.38,A01356:94:H55VNDMXY,0.9948,0.9952,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,28393dbf-f28d-4263-9078-f42ae1f49ca2,0fd1ef20-20af-434c-8513-89e16d5de8a4,27854.75,73982.5625,2456,3968,10.9808649863106,0.951743488760274,3.324184725571731,1.7919015272397236,11542,0.6179793328693045,>15%,0.6886356519632407
DSP-1012340069903-D-C03.dcc,3_Med,3_Med,8,Full ROI,3_Med.|.008.|.Full.ROI,CS-EGL-Medial,CS20M1,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,29873.6,396,19981,5981,17126303,16373035,955644,17104453,17014767,94.16,A01356:94:H55VNDMXY,0.9953,0.9951,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,71cfb248-8207-413d-bd8d-d582347084f4,db60d0c1-ef02-488f-a832-62cb2188840b,27854.75,73982.5625,2456,3968,19.917583157008,1.45934001609909,8.474909359469954,1.5330304758794702,10346,0.5539433527868501,>15%,1.0413514737005103
DSP-1012340069903-D-C04.dcc,3_Med,3_Med,9,Full ROI,3_Med.|.009.|.Full.ROI,CS-VZ-Medial,CS20M2,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low Nuclei Count,27522.2,114,15104,30494,13889619,13308596,1169928,13872601,13796370,91.21,A01356:94:H55VNDMXY,0.9951,0.995,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,8a01054f-2d24-471c-9c88-6fb3aec96787,3d34f704-d985-4e64-97ef-af4d3435ebb1,27854.75,73982.5625,2456,3968,20.1534846340986,2.12556045823128,6.814158366596492,1.7197644330312651,11325,0.6063607645767521,>15%,1.545231219039467
DSP-1012340069903-D-C05.dcc,3_Med,3_Med,10,Full ROI,3_Med.|.010.|.Full.ROI,CS-ATOH-Medial,CS20M2,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,21175,235,14361,29548,9515727,9107127,792575,9504426,9451824,91.3,A01356:94:H55VNDMXY,0.9951,0.9949,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,8b1ee87b-de64-4c0b-be97-377d12d24945,6e4617f6-0f9d-4875-89a4-50370b4ef2e7,27854.75,73982.5625,2456,3968,17.835857919985,1.39589045018174,4.691789118198303,1.9164296585005758,10421,0.5579589869893452,>15%,0.9909634991666147
DSP-1012340069903-D-C06.dcc,3_Med,3_Med,11,Full ROI,3_Med.|.011.|.Full.ROI,CS-iSVZ1-Medial,CS20M2,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,27992.6,406,15045,30447,13644955,13041267,1274893,13624879,13542400,90.22,A01356:94:H55VNDMXY,0.9947,0.9947,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,9976ccce-5b53-498d-96ea-a98102b9bb98,92d93e56-3f79-4c3d-b4e4-a3e291162a1f,27854.75,73982.5625,2456,3968,21.5057662428364,2.22073480710731,6.783871718728498,1.780486343723932,12109,0.648337527440167,>15%,1.578823202062064
DSP-1012340069903-D-C07.dcc,3_Med,3_Med,12,Full ROI,3_Med.|.012.|.Full.ROI,CS-iSVZ2-Medial,CS20M2,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,47671.6,349,14960,30418,47319856,45293026,2349054,47265842,46993356,94.81,A01356:94:H55VNDMXY,0.9949,0.9948,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,03700264-644c-404a-8db5-cbd070a888ed,afcc04e9-f721-40c3-a768-7bad7446b048,27854.75,73982.5625,2456,3968,31.8976256735737,3.71179960616507,12.899492035193527,1.5725080386914718,14080,0.7538683942817369,>15%,2.6369706672738733
DSP-1012340069903-D-C08.dcc,3_Med,3_Med,13,Full ROI,3_Med.|.013.|.Full.ROI,CS-oSVZ-Medial,CS20M2,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,72900.3,796,14720,30382,35005815,33506680,2142969,34962734,34765246,93.6,A01356:94:H55VNDMXY,0.9951,0.9949,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,eba65f0e-7fe4-4c02-98c4-fd15b60aff67,6f4ba095-b0d9-4c11-97c1-ff24cb44b3c8,27854.75,73982.5625,2456,3968,39.5956826395128,3.58490047433037,17.62015097143382,1.434793500428046,13180,0.7056807838517963,>15%,2.603378684251276
DSP-1012340069903-D-C09.dcc,3_Med,3_Med,14,Ki67+,3_Med.|.014.|.Ki67+,CS-SVZ-Ki67-Medial,CS20M2,CS20,Medial,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Low Surface Area,Low Nuclei Count",14141.6,33,14349,30980,11202851,10717003,879657,11189319,11121060,91.79,A01356:94:H55VNDMXY,0.9951,0.9949,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,47a17d5f-3c96-46f8-879e-659a3ad665ec,f82c8fa8-057f-4a5a-a8cc-f92f56b45837,27854.75,73982.5625,2456,3968,15.6313491777674,1.45934001609909,4.383175125457087,1.8884427395362986,11966,0.6406810515607432,>15%,1.0245554821892118
DSP-1012340069903-D-C10.dcc,3_Med,3_Med,15,Full ROI,3_Med.|.015.|.Full.ROI,CS-RL-Medial,CS20M2,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Low Surface Area,Low Nuclei Count",11070.9,115,14470,29387,4478372,4270434,292849,4471766,4445358,93.14,A01356:94:H55VNDMXY,0.9948,0.995,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,4adc4312-91cc-4d27-b3d3-47f1452f3e72,0fe516fe-083b-4b12-b915-6a5def5e2524,27854.75,73982.5625,2456,3968,8.03030101213032,0.539321310297489,2.234179151826875,1.895862843396442,9037,0.4838571505059699,>15%,0.3695118132485682
DSP-1012340069903-D-C11.dcc,3_Med,3_Med,16,Full ROI,3_Med.|.016.|.Full.ROI,CS-NTZ1-Medial,CS20M2,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,23253.5,246,12993,30595,8694551,8307713,767858,8666466,8616640,90.76,A01356:94:H55VNDMXY,0.9951,0.9941,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,42e1cd41-b0f8-4876-87d5-e3fc714c0bda,86ae6f6f-4173-4e36-a3b4-ccdf82616ba9,27854.75,73982.5625,2456,3968,17.915911563172,1.30071610130571,6.016831155831272,1.7255817650756082,9663,0.5173743106494619,>15%,0.9573715161440176
DSP-1012340069903-D-C12.dcc,3_Med,3_Med,17,Full ROI,3_Med.|.017.|.Full.ROI,CS-NTZ-EGL-Medial,CS20M2,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,48234.5,447,14047,30213,18494206,17709540,1095319,18464999,18355342,93.82,A01356:94:H55VNDMXY,0.9947,0.9944,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,29d9d7d9-ac04-4676-909d-c4ded66e75ae,55a207a8-36b6-4a7e-95a6-26f11fda11ed,27854.75,73982.5625,2456,3968,27.9466253563477,1.71313827976849,11.574009664053714,1.5538989246762593,8934,0.47834234620121,>15%,1.2429033718360931
DSP-1012340069903-D-D01.dcc,3_Med,3_Med,18,Full ROI,3_Med.|.018.|.Full.ROI,CS-CPE-Medial,CS20M2,CS20,Medial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low Nuclei Count,26894.3,180,16021,29347,12197319,11681764,835184,12182391,12114965,92.85,A01356:94:H55VNDMXY,0.9948,0.9947,"""GeoMx_NGS_Pipeline_2.3.4""",HWTA12002,2a0bad57-3162-4cc4-9ee3-d8d0fa381a56,c2893e7f-0c20-451b-a3b2-c61a86ad8366,27854.75,73982.5625,2456,3968,17.3232678979033,1.45934001609909,6.900492358584225,1.584436619186605,10041,0.537613107030037,>15%,0.9909634991666147
